Disease,Count of Disease Occurrence,Symptom,Treatment
hypertensive disease,3363,pain chest;shortness of breath;dizziness;asthenia;fall,"The main goal of treatment will be to relieve your symptoms. In mild cases, no specific treatment is required. Talk to your doctor about the medications that you’re taking."
diabetes,1421,polyuria;polydypsia;shortness of breath;pain chest;asthenia,"Controlling blood sugar through diet, oral medication or insulin is the main treatment. Regular screening for complications is also required."
depression mental^depressive disorder,1337,feeling suicidal;suicidal;hallucinations auditory;feeling hopeless;weepiness,"The mainstay of treatment is usually medication, talk therapy or a combination of the two. Increasingly, research suggests that these treatments may normalise brain changes associated with depression. Therapies include Cognitive behavioral therapy, Behaviour therapy and Psychotherapy.  Medications are SSRIs, Antidepressant and Anxiolytic Medical and Electroconvulsive therapy procedure can be done. "
coronary arteriosclerosis^coronary heart disease,1284,pain chest;angina pectoris;shortness of breath;hypokinesia;sweat^sweating increased,"Treatments include lifestyle changes, medication, angioplasty and surgery. Self-care inlcludes Quitting smoking, Weight loss, Physical exercise and Low fat diet. Medications inlude Statin, Anticoagulant, Beta blocker, Antianginal and Calcium channel blocker. Medical procedure are Coronary stent and Angioplasty and Coronary artery bypass surgery"
pneumonia,1029,cough;fever;decreased translucency;shortness of breath;rale,"Antibiotics can treat many forms of pneumonia. Some forms of pneumonia can be prevented by vaccines. Medications are Antibiotics and Penicillin Supportive care Oxygen therapy, Oral rehydration therapy and IV fluids"
failure heart congestive,963,shortness of breath;orthopnea;jugular venous distention;rale;dyspnea,"Treatments can include eating less salt, limiting fluid intake and taking prescription medication. In some cases a defibrillator or pacemaker may be implanted."
accident cerebrovascular,885,dysarthria;asthenia;speech slurred;facial paresis;hemiplegia,Early treatment with medication like tPA (clot buster) can minimise brain damage. Other treatments focus on limiting complications and preventing additional strokes.
asthma,835,wheezing;cough;shortness of breath;chest tightness;non-productive cough,"Treatment consists of self care and bronchodilators. Asthma can usually be managed with rescue inhalers to treat symptoms (salbutamol) and controller inhalers that prevent symptoms (steroids). Severe cases may require longer acting inhalers that keep the airways open (formoterol, salmeterol, tiotropium), as well as inhalant steroids."
myocardial infarction,759,pain chest;st segment elevation;sweat^sweating increased;shortness of breath;st segment depression,"Treatment depends on severity Treatment ranges from lifestyle changes and cardiac rehabilitation to medication, stents and bypass surgery."
hypercholesterolemia,685,pain;pain chest;sweat^sweating increased;nonsmoker;pressure chest,"Treatment consists of self care and statins Treatments include medication, a healthy diet and exercise. Self-care Physical exercise and Low fat diet Medications Statin and Cholesterol medication"
infection urinary tract,597,fever;dysuria;hematuria;renal angle tenderness;lethargy,Treatment consists of antibiotics Common treatment is with antibiotics. Medications Antibiotics and Penicillin Self-care Urinating after sexual intercourse
anemia,544,chill;guaiac positive;monoclonal;ecchymosis;tumor cell invasion,"Treatment varies Treatment depends on the underlying diagnosis. Iron supplements can be used for iron deficiency. Vitamin B supplements may be used for low vitamin levels. Blood transfusions can be used for blood loss. Medication to induce blood formation may be used if the body’s blood production is reduced. Medications Dietary supplement, Blood transfusion and Vitamin"
chronic obstructive airway disease,524,shortness of breath;wheezing;cough;dyspnea;distress respiratory,"Treatment consists of self care and bronchodilators Rescue inhalers and inhaled or oral steroids can help control symptoms and minimise further damage. Medications Bronchodilator and Steroid Supportive care Oxygen therapy Self-care Physical exercise, Quitting smoking and Diaphragmatic breathing Therapies Pulmonary rehabilitation"
dementia,504,fever;fall;unresponsiveness;lethargy;agitation,Treatment depends on stage Medication and therapies may help manage symptoms. Some causes are reversible. Therapies Rehabilitation and Occupational Therapy Medications Cognition-enhancing medication
insufficiency renal,445,shortness of breath;hyperkalemia;orthopnea;rale;urgency of micturition,"Treatment varies In addition to addressing the underlying cause, treatments include fluids, medication and dialysis. Medications Diuretic Medical procedure Dialysis Devices Ureteral stent Supportive care Fluid replacement"
confusion,408,seizure;enuresis;lethargy;speech slurred;fall,"If the confusion is related to low blood sugar (glucose), eating or drinking something sweet may help."
degenerative polyarthritis,405,pain;food intolerance;numbness of hand;general discomfort;drowsiness,"Treatment consists of self care and therapy Medication, physiotherapy and sometimes surgery can help reduce pain and maintain joint movement. Self-care Physical exercise, Weight loss, Ice packs and Menthol Medications Nonsteroidal anti-inflammatory drug, Analgesic, Dietary supplement and Narcotic Therapies Hydrotherapy, Stretching, Physical Therapy and Acupuncture Surgery Arthroscopy and Joint replacement"
hypothyroidism,398,shortness of breath;prostatism;drowsiness^sleepy;hyponatremia;fall,Treatment consists of hormones Treatment consists of thyroid hormone replacement. Medications Hormone
anxiety state,390,worry;feeling suicidal;suicidal;sleeplessness;feeling hopeless,"Physical activity, a healthy diet, regular sleep and relaxation exercises may all help to reduce anxiety. Joining a support group may also help. To manage symptoms effectively, it's best to avoid caffeine, alcohol and nicotine."
malignant neoplasms^primary malignant neoplasm,354,pain;mass of body structure;lesion;cushingoid facies^cushingoid habitus;emphysematous change,"Treatment depends on stage Its treatment depends on the stage of cancer. It may consist of chemotherapy, radiation, hormone therapy and surgery."
acquired immuno-deficiency syndrome^HIV^hiv infections,350,fever;night sweat;spontaneous rupture of membranes;cough;nan,"Treatment consists of HIV antivirals No cure exists for AIDS, but strict adherence to antiretroviral regimens (ARVs) can dramatically slow the disease's progress as well as prevent secondary infections and complications. Medications HIV antiviral"
cellulitis,341,erythema;pain;swelling;redness;fever,"Treatment consists of antibiotics Without treatment with an antibiotic, cellulitis can be life-threatening. Medications Antibiotics and Penicillin"
gastroesophageal reflux disease,325,pain;pain chest;burning sensation;hyponatremia;satiety early,"Treatment consists of self care and antacids Relief from lifestyle changes and over-the-counter medication is usually temporary. Stronger medication may be required. Self-care Elevate head of bed, Dietary modification and Weight loss Medications Antacid, Proton-pump inhibitor and Antidiarrhoeal"
septicemia^systemic infection^sepsis (invertebrate),311,fever;distress respiratory;hypotension;tachypnea;chill,"Treatment consists of antibiotics and fluids Treatment includes antibiotics and intravenous fluids. Supportive care Mechanical ventilation, Hospitalization, Fluid replacement and IV fluids Medications Vasoconstrictor, Antibiotics, Blood pressure support and Steroid Devices Central venous catheter"
deep vein thrombosis,310,swelling;pain;ecchymosis;shortness of breath;pain in lower limb,Treatment consists of blood thinners Treatments include medication and use of compression stockings. Devices Compression stockings Medications Anticoagulant
dehydration,297,fever;diarrhea;vomiting;hypotension;nausea,"Drinking water, oral rehydration solution (ORS) or sports drinks to replace lost fluids may help prevent dehydration. Finding a place to cool down may also help."
